EXCH_ID	SEGMENT	SECURITY_ID	ISIN	INSTRUMENT	UNDERLYING_SECURITY_ID	UNDERLYING_SYMBOL	SYMBOL_NAME	DISPLAY_NAME	INSTRUMENT_TYPE	SERIES	LOT_SIZE	SM_EXPIRY_DATE	STRIKE_PRICE	OPTION_TYPE	TICK_SIZE	EXPIRY_FLAG	BRACKET_FLAG	COVER_FLAG	ASM_GSM_FLAG	ASM_GSM_CATEGORY	BUY_SELL_INDICATOR	BUY_CO_MIN_MARGIN_PER	SELL_CO_MIN_MARGIN_PER	BUY_CO_SL_RANGE_MAX_PERC	SELL_CO_SL_RANGE_MAX_PERC	BUY_CO_SL_RANGE_MIN_PERC	SELL_CO_SL_RANGE_MIN_PERC	BUY_BO_MIN_MARGIN_PER	SELL_BO_MIN_MARGIN_PER	BUY_BO_SL_RANGE_MAX_PERC	SELL_BO_SL_RANGE_MAX_PERC	BUY_BO_SL_RANGE_MIN_PERC	SELL_BO_SL_MIN_RANGE	BUY_BO_PROFIT_RANGE_MAX_PERC	SELL_BO_PROFIT_RANGE_MAX_PERC	BUY_BO_PROFIT_RANGE_MIN_PERC	SELL_BO_PROFIT_RANGE_MIN_PERC	MTF_LEVERAGE
NSE	D	67823	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67000-CE	BANKNIFTY 28 AUG 67000 CALL	OP	NA	35	8/28/2025	67000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67826	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67000-PE	BANKNIFTY 28 AUG 67000 PUT	OP	NA	35	8/28/2025	67000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67827	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67100-CE	BANKNIFTY 28 AUG 67100 CALL	OP	NA	35	8/28/2025	67100	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67830	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67100-PE	BANKNIFTY 28 AUG 67100 PUT	OP	NA	35	8/28/2025	67100	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67836	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67200-CE	BANKNIFTY 28 AUG 67200 CALL	OP	NA	35	8/28/2025	67200	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67839	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67200-PE	BANKNIFTY 28 AUG 67200 PUT	OP	NA	35	8/28/2025	67200	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67840	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67300-CE	BANKNIFTY 28 AUG 67300 CALL	OP	NA	35	8/28/2025	67300	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67844	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67300-PE	BANKNIFTY 28 AUG 67300 PUT	OP	NA	35	8/28/2025	67300	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67847	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67400-CE	BANKNIFTY 28 AUG 67400 CALL	OP	NA	35	8/28/2025	67400	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67848	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-67400-PE	BANKNIFTY 28 AUG 67400 PUT	OP	NA	35	8/28/2025	67400	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
